	Feature	LogRatio
0	scafDX at 5'	0.4346940568860389
1	scafDX at 5'	0.24594947808071824
2	scafDX at 5'	0.1352183758528706
3	scafDX at 5'	0.4076703959887175
4	scafDX at 5'	0.22628467025226165
5	scafDX at 5'	0.9559388155761359
6	scafDX at 5'	-0.0215579171390122
7	scafDX at 5'	0.18649127527212098
8	scafDX at 5'	0.4449976192652253
9	scafDX at 5'	-0.09096945471922724
10	scafDX at 5'	0.20140284018001695
11	scafDX at 5'	-0.4068843075968003
12	scafDX at 5'	0.3605803280621725
13	scafDX at 5'	0.5758533029883777
14	scafDX at 3'	0.10093700417253741
15	scafDX at 3'	-0.10923707940130196
16	scafDX at 3'	0.09720839466314886
17	scafDX at 3'	-0.2637152229261955
18	scafDX at 3'	-0.48778865746942024
19	scafDX at 3'	0.09878891990760026
20	scafDX at 3'	-0.5784410724179739
21	stapDX at 5'	0.2300103806230991
22	stapDX at 5'	0.17358377817604145
23	stapDX at 5'	-0.16848747488902105
24	stapDX at 5'	-0.1747103533392957
25	stapDX at 5'	0.027000340927100547
26	stapDX at 5'	0.6013677386512442
27	stapDX at 5'	-0.3985073431510238
28	stapDX at 5'	0.07215494853121479
29	stapDX at 5'	0.1976031861672231
30	stapDX at 5'	0.2546048731779696
31	stapDX at 5'	0.4225147518289921
32	stapDX at 5'	0.20209325229468195
33	stapDX at 5'	0.10133904455011415
34	stapDX at 5'	-0.43692786141762985
35	stapDX at 5'	-0.4811275372433612
36	stapDX at 5'	-0.1694267628243142
37	stapDX at 5'	0.09505475598208324
38	stapDX at 5'	0.28554821025407784
39	stapDX at 5'	-0.004317034747915228
40	stapDX at 5'	-0.09177037335564539
41	stapDX at 5'	-0.17605300234606167
42	stapDX at 3'	-0.3138946388954947
43	stapDX at 3'	0.2315460231378179
44	stapDX at 3'	0.33039151051265836
45	stapDX at 3'	0.18445315002881077
46	stapDX at 3'	-0.12995337571878904
47	stapDX at 3'	-0.8043289986843082
48	stapDX at 3'	0.08003331091473448
49	stapDX at 3'	0.02020543921902528
50	stapDX at 3'	0.19422089025565087
51	stapDX at 3'	-0.48936147790382456
52	stapDX at 3'	0.32418198425854416
53	stapDX at 3'	0.1289311117311009
54	stapDX at 3'	0.4185421530064376
55	stapDX at 3'	0.2883721476631195
56	stapDX at 3'	0.0704211330274137
57	stapDX at 3'	0.16074136663935903
58	stapDX at 3'	0.11275083834762627
59	stapDX at 3'	0.17726258309966128
60	stapDX at 3'	0.5215500648515662
61	stapDX at 3'	-0.23007251879389734
62	stapDX at 3'	-0.02439470344549739
63	stapDX at 3'	-0.2473152564519994
64	stapDX at 3'	0.005937290969411317
65	stapDX at 3'	-0.36640121697369754
66	stapDX at 3'	0.4572061356477887
67	stapDX at 3'	-0.005339755680889379
68	stapDX at 3'	0.26263155146064504
69	stapSX at 5'	0.3791031480044823
